"Survey_feedback","Sentiment"
"I booked this stay with my Hyatt points so this was an award night but I was very disappointed with the condition of our room.  I sat down to take it easy and watch tv however there was no picture only sound on the set.  I then decided to brew a cup of coffee and found that the bar sink faucet was plugged up so no water there.  My wife came out shortly from the bathroom and told me the drain was nearly plugged.  We could barely look out the sliding glass door in the bedroom since the inner seal was obviously broken and the glass was fogged between the glass panels.  Not what I expected from a luxury hotel!  The staff was pleasant but instead of addressing the issues, only told me I should have said something earlier.  Wish I had saved my points and stayed elsewhere.","Very Negative"
"The hotel was under construction. The shuttle was not available during my stay, except for the last day and had to incur additional unplanned expense because it was not available. I thought breakfast was included with our corporate rate, and learned it was not. On a positive note, my bed was EXTREMELY comfortable and the TVs in my room exceeded my expectations (the large-screen in the bedroom was wonderful!)","Negative"
"The stairs in the convention center are rather steep.  Escalator would have been nicer.","Neutral"
"We had great discussions with many of the staff throughout our stay! We met some of the cooks, Miguel, Steve and Manny who were a delight. Bill was setting up for a lunch and even started conversation with us. Linda a housekeeper was kind. Stacey in the pub entertained us since we were the only one in there on a Sunday night. Every staff member we met was amazing! Checking was smooth, the hotel is gorgeous. The mattresses and pillows were so comfortable to sleep on. I definitely will recommend Hyatt to friends, family and coworkers.","Very_Positive"
"I was going to speak with someone the morning I checked out but there was a line of people.  My room was FREEZING.  The thermometer didn't work and I had the heat turned up to 76 and froze.  I was in room 330 and didn't sleep all night due to the fact that I was freezing.  I used the extra blanket and in the middle of the night got up and put bath towels on me.  I was desperate and probably should've called down for another blanket.  I felt that the room was very outdated and dirty.  But that I can live with...the freezing cold was rough.  Needless to say, I got a horrible night sleep and checked out at 8 in the morning.","Negative"
"Check out was slow because of the parking ticket..had to stand in a long line to get it validated","Negative"
"We were very pleased with our stay and room at the Hyatt Regency and would stay again when in the area. The Hotel was lovely and our room was very comfortable and had all the extras we have not experienced at other hotels. The value for the price we paid was outstanding compared to other hotels we have stayed that are considered high end. Absolutely satisfied with the Hyatt Regency!","Very_Positive"
"I love the set up of the room, how you walk into the living space first, then the bathroom, then the bedroom. I wish more hotels did this","Very_Positive"
"The guest rooms were much too hot, and the windows/sliding door should have had screens. The free breakfast was sorely missed. The elevators are extremely slow. The room keys kept inactivating.","Negative"
"We expected a 3 pm check in, and our rooms weren't ready until 6:30. We would like a partial refund.","Negative"
"There seemed to be a motor running - a very loud one, that was not coming from inside the room.  It would kick in every few minutes and run for about 15-30 seconds.  I thought it was maybe the elevator room nearby, but that also did not seem to be the case.  Either way, it did not make for a very tranquil stay.","Negative"
"I was there for a wedding. Check-in went very smooth and told me that I was able to stay in the room for both nights. I got a call on Saturday while I was in the middle of setting up a wedding upstairs and was told I had to move rooms. It was a very inconvenient time and I could not move rooms. The wedding was less than an hour away and I had my hotel room filled. I was able to stay in the room but thought it was a very bad time for them to do that. 
It was impossible to have breakfast downstairs with any larger wedding group.  they didn't have the room for us and kept letting other people in ahead of us so we had to wait well over half an hour for all of us to eat. 
On the positive side it is a gorgeous location, staff was as friendly and accommodating as possible, very clean and we would stay again.","Negative"
"I decided to stay here with some friends for a night away. I decided to use points for the room. I feel it was a wasted because there were so many issues with my stay!","Negative"
"I felt bad for the staff. We arrived around 3 wanting to rest before the evening but a room was not available yet. So we went to the bar. At 4 there was still no room, at 5 still no room. We had a scheduled dinner so we got ready in the bathroom for the evening and had our bags held. Later that evening there was a room and it was a suite - very nice thank you. Most of the staff was very courteous.","Positive_But_Critical"
"Housekeeping staff were excellent.  Front Desk was nice, and maybe new (?), but a little bureaucratic.  Overall, very happy.  Thank you for asking.","Positive_But_Critical"
"I was there 3 days, I had an issue with the heat. They came up the next day and fixed the thermostat but the heat still did not work. Called the desk, they shut off the fan but never sent anyone to fix the heat. It was 66 degrees all three days. Staff just blew it off saying the hotel was cold. Disappointed.","Negative"
"I've stayed at this hotel a number of times over the past twenty years.  A fresh coat of paint and a new tv isn't a renovation.  I only stay because of the KI Conv Center, there are many better options in Green Bay.","Negative"
"I used the coffee maker, The coffee supply was replenished every day but the sugar and stir sticks were not.  A little thing but important to me.","Neutral"
"The sleeping rooms have severely aged.  The food was average and the prices for drinks in the bar were extremely high.  GB is not Milwaukee or Minneapolis.","Neutral"
"As a breastfeeding mother staying at the Hyatt for a conference, I was extremely disappointed in the lack of accommodation. When I went to check in (earlier than the actual check in time) I explained that I would like a space to pump before my room was ready. I was told there were no options unless I paid an upgrade fee. This was not a feasible option. No private space was provided to me so I had to pump on the bathroom floor in a handicap stall. I do believe I could've been provided with a private space to pump and that accommodation was not made. I was incredibly upset at this situation.","Negative"
"Elevators were slow and bathrooms are way to small","Neutral"
"I had a reservation for a room with two queen beds and tried to check in at 3:30 when check in is supposed to be 3:00.  I was informed that my room was not ready.  At 4:30 I went back up and they offered me a room with 1 king bed.  I declined. I went up again at 5:40 and was told it was ready only to find out it was the room with 1 king bed.  There was no compensation for the late check in or the wrong room.  I would not go back even though the room was nice and breakfast was good.","Negative"
"Hotel room was not ready until 5:30.","Neutral"
"Some guests were disappointed with the Banquet dinner.","Neutral"
"I had a room reserved a month in advance for the wrestling clinic.  I, and 3 other coaches, tried checking in at 1 pm, but the room wasn't ready, 3 pm, the room wan't ready, 4:30 pm, the room wasn't ready...  We had a banquet to attend at 7 pm upstairs.  The 4 of us hadn't showered, etc... The 4 of us dressed in the bathroom!  I went to the desk at 7 pm, and was told by the clerk""your room is ready"", ""didn't someone text you?"".  

This was the WORST experience have ever had at a motel!  I would like you to forward this survey to a Manager, and I would also request I be reimbursed for my stay at the Hyatt.

Patrick Ratkovich
(715) 574 - 3628","Negative"
"We got there at 5:30pm and our room was not ready. We were told we would get a text letting us know when our room would be ready and never received a text. We checked back at 7pm room not ready. Checked back at 8:30pm finally got to check into our room. RIDICULOUS.","Negative"
"Room was not ready until 4pm arrived at 2. The breakfast food was cold and inedible, pull out bef was dirty and stained and very uncomfortable to the point it was better to sleep on the floor.","Negative"
"Great walleye at the restaurant!","Very_Positive"
"Room did not have full length mirror. Room service delivered in bag with plastic utensils. I was charged close to $10 for tip and service charge and I don't get real utensils? That is tacky. Internet connection impossible. Upon arrival was not informed of which elevator to use, or breakfast options. Morning staff was much more helpful with my need for local directions. Compared to my stay last year, I was disappointed","Negative"
"Room was way too warm and thermostat didn't respond to any changes.  I am not able to sleep in 70-72 degrees comfortably.  I have stayed at this hotel many times over the years and this never seems to change.
I was also disappointed that the breakfast wasn't included in our room rate.  I later found out I could stay at the neighboring hotel cheaper, with working thermostats and has breakfast included so I will probably stay there next time.","Negative"
"Excellent service provided by staff. Morning breakfast is too good. I definitely recommend this hotel and would love to visit again.","Very_Positive"
