Original_Feedback,Generated_Summary,Labeled_Sentiment
"This was a lovely hotel and the room was much more spacious than I expected. It was clean,  and I feel we got a bargain, especially when we saw the prices listed on the back of the door!","The conversation discusses a hotel stay where the individual finds the room surprisingly spacious, clean, and affordable compared to the listed prices on the door.",Positive but Critical
"Very pleasant, helpful staff. Was able to check-in early as Hyatt member. Staff recommended a great restaurant (based on dietary restrictions).",The speaker had a positive experience at a hotel due to the helpful staff who checked them in early as a Hyatt member and recommended a suitable restaurant based on their dietary restrictions.,Very Positive
The hotel is run down and in terrible shape,The conversation discusses a rundown and poorly maintained hotel.,Very Negative
This hotel needs a total renovation. Very run down. I was there for a conference and the food at the conference was average at best.,The conversation discusses a hotel needing renovation due to its poor condition. The speaker attended a conference there and found the food unsatisfactory.,Very Negative
Took at least 10 gal of water to get hot water to the shower.  Should have a free breakfast.,There was an issue with the water heating system resulting in insufficient hot water supply for the shower. It was also mentioned that there should be a complimentary breakfast provided.,Slightly Negative
"Access to the convention center was great. 
Bed was very comfortable.
Room was attractive.
Shower head was wonderful, but drains in tub and washbowl were VERY slow.","The conversation discusses positive experiences at a hotel stay, including easy access to the convention center, a comfortable bed, and an attractive room. However, the shower head was praised while the drains in both the tub and washbasin were noted as being extremely slow.",Slightly Negative
"Staff were very friendly and helpful. Check-in was seamless and liked the variety of options.  No issues with our tax exempt process.  Have stayed here many times before for business - service is always great, staff have always been attentive during our business lunches and breakouts.  Thanks for a great stay AGAIN.","The guest had another successful business stay at the hotel due to friendly and helpful staff, smooth check-in, diverse options, and efficient handling of their tax exemption process. Previous experiences included excellent service during business meals and events. Overall, they appreciated the experience and look forward to future stays.",Very Positive
Elevators were slow.,The conversation revolves around elevators being slow.,Positive but Critical
"Parking lot that you get charged for , was packed as well . No where to parked .","The parking lot requiring payment was full, leaving no available spaces for parking.",Very Negative
The rooms need updating.  Look old.  Small tvs,"The speaker suggests updating the rooms as they appear outdated, specifically mentioning small televisions.",Mixed or Neutral
"The $100 fee for bringing our dog was very steep!  The most I have ever seen as an adder was $50, and it's typically much lower than that or there is no fee at all.  Unfortunately, I had already booked and paid through Hotwire so I couldn't cancel the reservation, otherwise I would have and found somewhere without such a high fee!  Overall, we were very happy with the hotel itself though.","The speaker found the $100 pet fee at their hotel unreasonably high compared to usual fees (typically under $50), which led them to consider cancellation if possible. Despite the high fee, they were satisfied with the overall quality of the hotel.",Positive but Critical
"rooms need renovation
overall hotel is showing its age",The conversation discusses the need for renovations in a hotel as it appears outdated overall.,Positive but Critical
My only complaint was the coffee in my room was all decaf and I didn't realize it until it was too late.  But that was minor! The hotel overall was wonderful! Thank you!,"The guest appreciated the hotel experience overall, but regretted discovering their in-room coffee was decaffeinated without prior knowledge.",Very Positive
Very nice hotel and I’ll stay here again next time I’m in Green Bay.,The speaker had a positive experience staying at a hotel in Green Bay and plans to return there in the future.,Very Positive
It was a very nice stay. The staff were kind and helpful.,The conversation involved positive feedback about a stay at a location where the staff was described as being kind and helpful.,Positive but Critical
"Mattresses are too soft (we have stayed in 4 different rooms in this hotel). Toilets are lower than anything we’ve seen in other hotels. Heating/cooling System is not responsive (room did not cool down from 70 to 68, even overnight. No fan control.","The conversation discusses issues encountered during a stay at a hotel, including soft mattresses, low toilets, and an unresponsive heating/cooling system that failed to adjust room temperature as desired.",Positive but Critical
Breakfast anything would have been great,Participants expressed dissatisfaction with their breakfast options.,Positive but Critical
I can hear the noise from the rooms around me,The speaker mentions hearing noise coming from adjacent rooms.,Very Positive
The pool was too cold for my liking to swim in.  It was a shame because my grand daughter was so looking forward to a good swim.,"The speaker regrets that the pool was too cold for swimming, disappointing their granddaughter who had been eagerly anticipating a fun swim.",Very Positive
Hotel needs a facelift,Hotel requires a renovation.,Slightly Negative
Did not explain what world of Hyatt was about.,The conversation did not provide information about the World of Hyatt program or its details.,Very Positive
Wonderful acommodations. Helpful friendly staff! Thanks so much!!!,"Positive feedback given regarding accommodations and helpful, friendly staff. Thankfulness expressed towards the establishment.",Very Positive
"The market employee could use some training in customer service, blaming me for miscommunication when she misheard me and then got short with me. Otherwise everyone else at the desk and throughout the hotel was professional","The market employee showed poor customer service skills due to misunderstanding the customer (blame was placed on the customer) and being unprofessional, while the rest of the staff at the hotel provided good service.",Positive but Critical
"I was there for a conference. Was happy with the conference rate. 
Getting the reservation was a struggle. The third party lost my reservation and I had to scramble to get one. The ""on line"" process was awful. I couldn't get to a real person (none of the ""punch this"" list pertained to my problem. Eventually, I finally got the phone number of your green bay hotel and was able to secure a reservation. It took way too much time to accomplish and was stressful to the other people in my party.
I would avoid third party in the future.","The user attended a conference and faced difficulties securing accommodation due to losing their initial reservation by a third-party service. The online booking process proved unhelpful as they could not reach a live representative. After much effort, they managed to book a room directly through the Green Bay Hotel's phone number. To prevent similar issues in the future, the user plans to avoid using third-party services for accommodations.",Very Positive
Toilet is too low.,The conversation revolves around the topic of a toilet being too low.,Very Positive
Seems pointless to offer digital check-in when your digital key won't let you in and out of parking.,"The discussion revolves around the perceived inconvenience of offering a digital check-in service for parking, as users find it frustrating when their digital keys fail to grant access to the parking facility.",Slightly Negative
Excellent,"The conversation does not provide sufficient information for a summary. It consists only of one word (""Excellent""), which could indicate agreement, approval, or praise towards something mentioned earlier in the conversation, but without further context, its meaning remains unclear.",Very Positive
Loved the buffet breakfast the day of the Packer game. We also really loved the 2 room suite & the restaurant/fitness center was excellent.,"The conversation discusses positive experiences during a stay, specifically mentioning the enjoyed buffet breakfast, two-room suite, and the quality of the restaurant and fitness center during a visit coinciding with a Packer game.",Very Positive
"Parking is extremely inconvenient. Having to go back and forth from parking ramp rather than having a big enough lot is less than ideal. No idea of this until we got there and couldn’t find a spot. We had to call inside and ask where to go. Also, every hotel we’ve ever stayed at allows for over the phone check out, which we did here but we were not allowed to just leave our room cards inside the room on the desk. We had to come back down to floor one to drop them off, go back up to get our bags, then go back to floor 2 to get to skywalk and walk to ramp. Again, very inconvenient","The conversation discusses the inconvenience experienced during a stay due to insufficient parking facilities, lack of option for leaving room keys in rooms upon checkout, and additional steps required to access the skywalk and parking ramp.",Mixed or Neutral
My bed was very comfy and the staff were very friendly,The speaker had a comfortable stay with friendly staff.,Very Positive
"We received very good service. The room and the food was excellent. The staff was very professional & we received excellent customer service. All the accommodations were very comfortable. We would recommend 
staying there to everyone.","Excellent service, room, and food were experienced at an unspecified location. Staff was professional and provided exceptional customer service. Accommodations were comfortable, leading to a recommendation for others to stay there.",Very Positive
The hotel was old and needs to be updated. The elevator was slow.  The biggest issue was the lack of temperature control in my room.,The conversation discusses a stay at an outdated hotel where issues include a slow elevator and poor temperature control in one guest's room.,Very Negative
"The only downside is the difficulty parking at check-in. Unless you are familiar with the hotel, you do not know to take a ticket that they will validate when you check-in. I ended up driving around and finding a temporary parking space to check in and get my key card.","Parking at the hotel is difficult due to lack of initial guidance on ticket validation during check-in, requiring additional effort to find temporary parking.",Positive but Critical
The place is way to noisy...especially the indoor baggo. Very annoying,"The conversation discusses a noisy environment, particularly the indoor game of baggo, which is considered annoying by the speaker.",Slightly Negative
Parking was very confusing.  In one area it was complimentary but there wasnt enough for everyone.  If you offer free parking to some guests it should be offered to all.  I was asked to park in the public parking garage across the street.  Perhaps Hyatt could offer the same parking arrangement there as they do in the complimentary parking.,"The discussion revolves around confusion regarding parking at a certain location, where only some guests had access to complimentary parking while others were directed to a public garage. It is suggested that if free parking is provided to some guests, it should be extended to all. A proposal is made for the establishment to consider offering the same parking arrangements in the public garage as they do in the complimentary parking area.",Very Positive
Desk people were absolutely great!!  Even went up to my room because I forgot my coat!!!,The speaker had a positive experience with desk staff who helped them by retrieving their forgotten coat from their room.,Very Positive
"I would like to thorough thank the staff this weekend.  With terrible weather conditions, the staff handled the situation extremely well.  Well done",The speaker praises the staff for handling difficult weather conditions effectively during the weekend.,Very Positive
Room seemed dirty.,The room was perceived as being dirty by someone.,Slightly Negative
Be up from with all the extra surge charges. For example parking and early check in.,Discussion revolves around excessive additional fees such as parking and early check-in costs.,Positive but Critical
"The heat didn't work and the front desk told us that they don't turn it on until late fall.
Staff was fine.
Breakfast was acceptable but they took away the coffee urns on Monday.","The hotel's heating system does not operate until late fall, as confirmed by the front desk staff. Breakfast is satisfactory, although coffee urns were removed on Monday.",Very Negative
I could tell the staff was stretched after a busy weekend.  They were all very professional and took care of what I needed.,"After a busy weekend, the staff was stretched but remained professional and attended to the speaker's needs.",Very Positive
James and Tobi and the rest of the Staff are AWESOME,The staff members including James and Tobi are praised by someone as being awesome.,Very Positive
Getting a new reservation is a hassle.,Getting a new restaurant reservation is considered a hassle.,Positive but Critical
Continental breakfast is something every guest would enjoy. We were disappointed we didn’t see any option.,The guests expressed disappointment as they did not find a continental breakfast option available.,Slightly Negative
wish the restaurant had been open. was surprised to see it was closed.,The individual expressed disappointment as the expected restaurant was closed upon visit.,Very Positive
We had to call security twice because of noisy neighbors in the room next door(#729). Nearly ruined our stay,"There was a disturbance during the stay due to noisy neighbors in room #729, causing two calls to security which nearly spoiled the experience.",Slightly Negative
4pm check in is quite late and we were rushed,The conversation discusses a late 4PM check-in which caused a rush.,Mixed or Neutral
호텔주변을 관광을 위해 나갈때 어디에 파킹티겟 코드를 찍어야하는지 몰라서 우왕자왕했었습니다,"The individual was unsure where to leave their parking ticket code upon leaving the hotel area, expressing frustration (or ""ouwangjawang"" which translates to ""oh woe is me"").",Positive but Critical
Loved the rooms and the bed was very comfortable!,"The speaker had a positive experience with the accommodations, specifically mentioning the comfort of the bed.",Very Positive
Great Staff at the front desk.,The conversation praises the staff at the front desk for their excellent service.,Very Positive
We did not really have hot water for showers.,There was a lack of hot water for showering.,Mixed or Neutral
Service was fine. Property is a little tired.,The property has good service but appears slightly outdated.,Slightly Negative
Always a great place to stay. Have stayed here several times.,The speaker has frequently stayed at a particular location which they find satisfactory.,Very Positive
"I was extremely happy with my stay. A great room, good fitness room, etc. Thank you very much.","The individual expressed satisfaction with their accommodation, appreciating the comfortable room and fitness facilities provided.",Very Positive
We were charged for parking when we did not park at the hotel. They charged us parking for a parking lot that could hold MAYBE 100 cars at a fully booked hotel.,"The conversation revolves around a dispute regarding parking charges at a hotel. Despite not parking at the hotel, the speakers were still charged for using a small parking lot (capable of holding approximately 100 vehicles) despite being at a fully-booked hotel.",Positive but Critical
"Breakfast was terrible, furnishings were old, check in was slow, elevators are extremely slow, parking sucks!","The conversation discusses dissatisfaction with a hotel stay due to poor quality breakfast, outdated furnishings, slow check-in process, slow elevators, and difficult parking conditions.",Negative
"We were staying on points for one night. My pet peeve is when I stay on points at a hotel being given the worst room - because I’m staying on points. I have a lot of hotel stays throughout the year both for business or pleasure across different hotel brands. We were put right outside the elevator for our recent stay, it was unbelievably loud at night with us being able to hear every word of the elevator conversations. And, because there were 3 of us - not everyone could sleep in the room behind the door - we had people on the sofa bed who had the worst sleep ever with all the noise. When I was being checked in there was actually discussion about if the sofa bed was needed and how many beds were needed, so I was pretty annoyed to find we were out right outside the elevator doors.","During a hotel stay using points, the speaker experienced poor accommodation due to placement near the elevator, resulting in disruptive noise levels and uncomfortable sleeping arrangements for multiple guests. Initial communication during check-in suggested potential issues with accommodations, leading to frustration upon arrival.",Very Negative
The Starbucks coffee was not as good as a typical Starbucks,The conversation discusses a less than satisfactory cup of coffee from Starbucks compared to their usual standard.,Very Positive
"1. We were on the 2nd floor facing main street - loud and loud. The room did not stop the traffic noise at all. It was super frustrating to be awake at midnight due to the noise. 
2. The lounge/restaurant was out of limes. Who runs out of limes? They also did not have ginger beer to make Moscow Mules.   Odd for being a bar/lounge in Wisconsin.
3. While the front desk staff was nice - there was no mention of any kind about being a World of Hyatt member which I thought upon check in was supposed to occur. I felt I received nothing on this visit for being a World member.
4. The room smell - I mentioned my dis-satisfaction to the front desk upon check out - no real concern about it. Trust me - it should be concerning. I had to wash every piece of clothes in all suitcases as the clothes picked up that smell from just 1 night. 
5. I can say the poo/hot tub/sauna and steam room were great - no issues

In summary, I personally will not make the Hyatt my top option when visiting Green Bay. The thought of the room smell alone makes me shy away from staying again. Too bad - we love the appearance of the lobby and the pool area.","The guest experienced frustration due to excessive noise in their room on the second floor of a Hyatt hotel in Green Bay, Wisconsin. They were disappointed by the lack of essential ingredients for cocktails (limes, ginger beer) at the bar/lounge, and felt unacknowledged as a World of Hyatt member during their stay. The biggest issue was the strong odor in the room, which required washing all clothing after one night. Despite enjoying the amenities such as the pool area, the guest expressed reluctance to choose the Hyatt as their preferred accommodation in Green Bay due to the room smell.",Negative
i was a member of a very large group and all went well. thank you,The speaker was once part of a large group and had a positive experience.,Very Positive
"The beds are comfortable but for people who are short, it would have been good to have a foot stool available. 
It would be nice to get credit on the parking if you stay at the Hyatt.
Thanks for taking care of me during my stay.

Thanks much!","During their stay at the Hyatt, the individual finds the bed comfortable but suggests providing a footstool for shorter guests. They also suggest offering credit for parking as an additional amenity. Overall, they appreciate the service provided during their stay.",Very Positive
We were charged 40.00 more than they quoted us.,The party was unexpectedly charged 40.00 more than initially quoted during their transaction.,Negative
"my only complaint is when I had to move to a different room at 1am due to someone smoking in another room, filling my room with nasty cigarette smoke.  The move went very smooth and security was nice enough about it.  Under the circumstances, I would have thought that I would have received a discount on my room so I was definitely disappointed.  I hope they were able to find the guy (I'm sure it was one of the guys that was on the bowling league, since I saw him earlier in the lobby with a cigarette)
Putting that aside, the staff was fantastic during the unfortunate weather we were all dealing with.  With food being limited and staff that couldn't make it in, those that were there did a fantastic job and should all be commended!","The speaker experienced inconvenience due to secondhand smoke in their room late at night, which required them to relocate. Despite the smooth transition and polite handling by security, they felt they deserved a discount. However, they appreciated the staff's efforts during adverse weather conditions, particularly those who managed to work despite difficulties.",Very Positive
Pay for parking even for members.Pay for breakfast.,Parking fees apply for members and breakfast costs money.,Slightly Negative
My tail light was shattered and marks on my bumper from my truck being hit in the parking lot overnight.,The speaker experienced damage to their vehicle (tail light shattered and bumper marked) due to a collision in a parking lot overnight.,Very Negative
"The room did not seem as clean as it could have been. There was a hand print on the table that was never cleaned off. Also, the soap wrapper in the bathroom stuck to the dish. Additionally, when checking out it took multiple times to ask for a receipt for the hotel rooms. It is like the staff didn't understand what was being asked, or didn't know how to do it.","The conversation discusses various instances of poor service during a stay at a hotel, including a dirty table, sticky soap wrapper, and difficulty obtaining a receipt.",Positive but Critical
We were charged $10 per day for parking…and I wasn’t able to park in the lot Saturday….it was full.  I had to park in a lot across the street…not sure who owned it.,"The speaker was charged $10 per day for parking but couldn't find a spot in their usual lot on Saturday as it was full. Instead, they parked in another lot across the street, but weren't certain who its owner was.",Positive but Critical
Great stay again...only real complaint is the tiny toilets in this hotel. They are seriously too short and small for an average adult.,"The guest mentions having a good stay overall, but finds the hotel toilets to be unusually small and uncomfortable for adults.",Very Positive
"Two employees really impressed us. Melody (housekeeping I think) and Mitch (maintenance) were very helpful 
and pleasant.","Two employees, Melody from housekeeping and Mitch from maintenance, were praised for their helpfulness and pleasantry during their service.",Positive but Critical
Breakfast meal service was poor.,Breakfast service quality was unsatisfactory.,Positive but Critical
It was a nice get a way i wish i could have stayed longer to do a few more things while i was in the area,The speaker enjoyed their trip but wished they had more time to explore further.,Positive but Critical
Room was dusty. The staff members who were on duty tried but the hotel was clearly understaffed to deal with the volume of conference check ins. The room was very dusty.,The conversation discusses a dusty hotel room due to understaffing during conference check-ins.,Slightly Negative
Very satisfied with all,The speaker expressed satisfaction with their current situation or experiences.,Positive but Critical
