Feedback,Sentiment,Tone,Reply
"Our visit  was an annual family Christmas stay, a big splurge for us!  Everyone enjoys the comforts of the Hyatt. Unfortunately this year the hot tub was cold and did not get to enjoy it. One of the big things looked forward to using during our stay.",Very Positive,enthusiastic and grateful,"Dear Guest, thank you for choosing the Hyatt for your special Christmas vacation. We're truly sorry about the issue with the hot tub during your stay. We value your experience and will ensure improvements are made for future guests. Wishing you warm memories from last year's festivities."
"Thanks.  Biggest issue I had was that my room was immediately off the elevator bank.  Because the elevators still have the old fashioned bell/ding when selecting the floor in the elevator and audible from the elevator lobby, I was constantly hearing it in my room as well.  I could even hear it from the bedroom.  Isn't there a way to upgrade the notifier system to use a more discreet or subtle ring?",Positive but Critical,appreciative but attentive to concerns,"Dear Guest, thank you for your valuable feedback. We understand your concern about the noise level from our current elevator system. We're looking into upgrading to a quieter notification system for a more comfortable stay. Appreciate your patience."
Great location and wonderful spacious rooms.,Very Positive,enthusiastic and grateful,Delighted to hear you enjoyed our hotel's convenient location and spacious rooms! We appreciate your positive feedback and hope to welcome you back soon.
"upgrading to higher, elongated toilets would be a great upgrade in the bathrooms",Very Positive,enthusiastic and grateful,We appreciate your suggestion for an improved bathroom experience! Upgrades to larger and more comfortable toilet options will definitely enhance our guests' comfort. Thank you for bringing this to our attention.
"Incredible room for the money! Nice perks in the room, too. Only complaint would be wish staff would have understood more about what they offered for breakfast. Was disappointed at the lack of a continental breakfast.",Positive but Critical,appreciative but attentive to concerns,"Delighted to hear you enjoyed your stay! We're sorry for any confusion regarding our breakfast offerings. We appreciate your feedback and will ensure our team is better informed next time. Thank you for choosing us, we look forward to welcoming you again soon."
"This was the worst stay I have ever had!  Room 330 should not be available to your guests! Also who ever was at the front desk on the night of 12/14/18 and 12/15/18 early morning should be fired. The noise in the main hotel area went on until 11:30 that night and the outside noise until 2:00 am. I understand this is Green Bay were most people don't have a clue! But really, this is a Hyatt Regency!",Very Negative,deeply apologetic and committed to resolution,"Dear Guest, we deeply regret the inconvenience experienced during your stay in room 330. We will ensure it receives immediate attention for improvement. We apologize for any disturbance you encountered, especially during those specific dates. Your concerns about our staff member's performance has been noted for further review. Thank you for sharing your experience with us."
The choice of TV stations was lacking....,Positive but Critical,appreciative but attentive to concerns,"We're sorry for any inconvenience caused. We will ensure to expand our TV channel selection in future upgrades, aiming to enhance your viewing experience at our hotel. Thank you for bringing this to our attention."
"Our room was clean, comfortable........very happy with our room.",Positive but Critical,appreciative but attentive to concerns,We're delighted to hear you enjoyed your stay and found your room comfortable! Your satisfaction is our top priority. Thank you for choosing us for your accommodation needs. We look forward to serving you again soon!
"The temperature of the hot tub needs to be turned up, other that that, we were pleased with everything else.",Very Positive,enthusiastic and grateful,Thank you for your feedback! We're glad you enjoyed your stay and appreciate you letting us know about the hot tub. We'll get that adjusted right away!
"check in staff was great, place was beautiful.  Check in staff did tell us to bring parking ticket in to get validated, told her we left it in car, she said we needed it, so the next morning we went to the car and brought it in, waited in line for same girl to tell us we didn't need to validate on the weekend, so that is one area that could be improved, all told about a 20 minute waste of time.   Room was great, nice set up.  Upon walking in the first thing we saw was a dirty cleaning rag left over the chair back.  There was also urine on the bottom of the toilet on the side, but otherwise clean.",Positive but Critical,appreciative but attentive to concerns,"Thank you for your feedback. We're glad you enjoyed your stay overall, but we're very sorry for the issues with parking and the room's cleanliness. We'll address these concerns immediately."
The customer service staff are very friendly during check-in. Lindsay has been extremely helpful for all of my stays this year when booking my rooms.  Very accommodating when changes needed to be made. Emma has been very helpful with my room requests as well.  She really does well.,Very Positive,enthusiastic and grateful,Thank you for your kind words! We're thrilled you had a positive experience and appreciate your recognition of Lindsay and Emma. We're happy to have you as our guest!
"Great spot. A bit of a ""seasoned"" property but it is well maintained. Parking and validation could improve by using the door key as the in/ out ticket.",Very Positive,enthusiastic and grateful,Thank you for the feedback! We're glad you enjoyed your stay and appreciate your suggestions on parking. We'll consider your thoughts for future improvements.
Why no coffee anywhere in the hotel until after 7:00 on a Saturday morning?,Positive but Critical,appreciative but attentive to concerns,I sincerely apologize for the inconvenience of no coffee before 7 AM on Saturday. We will address this issue to ensure coffee is available earlier. Thank you for your feedback.
The hotel was dark and cold and very dated. I could not believe this was a Hyatt property. Even the lobby was cold.,Very Negative,deeply apologetic and committed to resolution,We're so sorry to hear you didn't enjoy your stay. We're working on renovations to improve the atmosphere and your feedback is valuable. We hope you'll consider staying with us again.
"As a business hotel with corporate rates would be awesome to have breakfast before 6:30 am, but otherwise the prices of the market was reasonable though maybe a coupon to those who check it before breakfast which is included in the rate would be appreciated.",Positive but Critical,appreciative but attentive to concerns,Thank you for your feedback! We appreciate your suggestion about an earlier breakfast and the market coupons. We'll consider these for future improvements!
"Great service, great staff, great stay!",Very Positive,enthusiastic and grateful,Thank you so much for your kind words! We're thrilled you had a great stay and enjoyed our service. We hope to welcome you back soon!
"Room service food options were very limited at dinner time. I have both gluten and dairy issues - leaving little to chose from.  Knowing 333 has more to offer, it would be great if the room service delivery could reflect more of those offerings.",Very Positive,enthusiastic and grateful,"Thank you for your feedback! We're sorry to hear room service was limited. We'll work on expanding options and communicating our full menu, including gluten/dairy-free choices."
lovely hotel..staff was awesome!!! I would definitely stay there again..love the place..thx,Very Positive,enthusiastic and grateful,Thank you for your kind words! We're thrilled you loved your stay and enjoyed our staff. We can't wait to welcome you back!
Prompt room service and courteous front desk.,Very Positive,enthusiastic and grateful,Thank you for your kind words! We're thrilled you enjoyed our prompt service and friendly staff. We hope to welcome you back soon!
very welcomed and treated well,Very Positive,enthusiastic and grateful,Thank you for your kind words! We're so glad you felt welcomed and well-treated. We hope to see you again soon!
My favorite place to stay when in the Green Bay area.,Very Positive,enthusiastic and grateful,Thank you for the wonderful feedback! We're thrilled to be your favorite spot in Green Bay and look forward to welcoming you back!
Nice Hotel.  But the common area was loud.  Which was surprising since the hotel seemed empty.  Again no offer for an upgrade at this property for Globalist.  In fact my Bedroom TV wasn't even the typical large TV.  It was like a Computer Monitor.  Just surprised I never get an offer at this property.  Free Parking was nice and the Breakfast was good as well.,Slightly Negative,understanding and mildly apologetic,"Thank you for your feedback. We apologize for the noise and TV, and for not offering an upgrade. We appreciate your kind words about parking and breakfast. We will strive to do better."
"I made the reservation for Wednesday 12-5 showed up on 12-5 and the check in said I was a NO SHOW last night 12-4. I said sorry the reservation was for 12-5 not 12-4. He indicated he corrected the Hyatt system and I would not be charged for the 12-4 no show. As I checked out I was charged for the NO SHOW and the 12-5 night I stayed. I had to go through the entire process all over again and will be looking for the credit on my account.

The buffet breakfast was the WORST I have experienced in a long time. Bad eggs, Bad cereal selections, un ripe fruit bad service, stale bread. A Very lame attempt at breakfast.",Negative,apologetic and solution-focused,I am so sorry for the check-in and check-out issues. I will look into the no-show charge immediately. I'm also truly sorry to hear about your breakfast experience. We will address these issues.
Wonderful stay - excellent accommodations and stellar service!,Very Positive,enthusiastic and grateful,Thank you for the wonderful feedback! We're thrilled you enjoyed your stay and appreciate you highlighting our accommodations and service. We hope to welcome you back soon!
"Cleanliness room can be improved, Bathroom floor specifically had hair.",Positive but Critical,appreciative but attentive to concerns,"Thank you for your feedback. We sincerely apologize for the issue with the cleanliness of your room, especially the bathroom. We will address this immediately."
The price of the breakfast and the charge for parking were surprisingly high.  I would have expected the hotel to validate parking at least.,Slightly Negative,understanding and mildly apologetic,Thank you for your feedback. We appreciate you bringing the breakfast and parking costs to our attention. We'll take your comments into consideration as we review our pricing.
Almost everything was great. The room was spacious and well appointed. The only issue we had was with the temperature. When we got to the room it was 72 degrees so I tried to turn it down to 65. After about a hour my husband looked at the thermostat and it was at 74 so it was going up instead of down. We called the front desk and were told that they would have to contact the engineers to turn the heat off to our room and they gave us a fan. I assumed that it would be taken care of the next day but no luck. Thankfully the fan was large and did the job while we were sleeping!,Positive but Critical,appreciative but attentive to concerns,"Thank you for your feedback! We're glad you enjoyed your stay, despite the temperature issue. We sincerely apologize for the inconvenience and will address this with our engineering team immediately."
"Bed could be a little more comfortable. And, need real refrigerators, not these 45 degree “coolers”",Positive but Critical,appreciative but attentive to concerns,Thank you for your feedback! We appreciate your comments about the bed and refrigerator. We'll look into improving these for a more comfortable stay.
"I am a huge fan of this hotel and have stayed here(GB Hyatt)  about 15 nights in the past 1 - 2 years. I am usually very impress overall, but this time was not my best experience. The hotel was not very busy and parking lot nearly empty for my entire stay. I was checked in to a room with construction going on right above me and I heard a lot of construction noise early and throughout the day as I was working.  There was also a blue crane that was extended right in front of my window.  Since there was hardly anyone in the hotel I was surprised they put me in this room. I didn't ask to be moved.  The carpet in my room was buckling and needs to be stretched.  The staff in the restaurant (breakfast) was also ignoring the guests as they stood at the front and talked.  I had to get up and ask for a menu, got to them to ask for water, then a refill and then go up and ask for my bill.  My eggs were also under cooked (ordered poached medium- no issue with them being under cooked, that happens and is not big deal) and I waited for someone to come and see how things were so I could reorder, but no one ever did (that was the issue-poor service). Each time I went up to ask for service the young ladies were very nice, but they clearly were more interested in talking to each other than in taking care of the guests. The person at the front desk (the one that checked me out for my stay) also needs to work on her customer service.  I saw her a few times during my stay and she never smiles, says hello or greets the guests, didn't ask how my stay was, etc  She was very cold and not very friendly and not typical of the Hyatt Staff I have net over the course of my stays.  I'm hoping this is not her usual demeanor and she was just ""off"".  
Like I said earlier, I am a huge fan of the hotel and am only sharing this for constructive purposes.  In general my hop is that the GB Hyatt is not slipping and that on my next stay the service will be improved. 

Thank you.",Positive but Critical,appreciative but attentive to concerns,"Thank you for your loyalty and valuable feedback. We sincerely apologize for the issues you experienced during your stay. We are addressing the concerns regarding the room, construction, restaurant service, and front desk interactions to ensure a better experience in the future. We appreciate your understanding."
The rooms and bathrooms need updating.,Mixed or Neutral,balanced and professional,Thank you for your feedback! We appreciate you bringing this to our attention and will consider your suggestions for future renovations.
"Great room, enjoyed the stay.",Positive but Critical,appreciative but attentive to concerns,Thank you for your kind words! We're thrilled you enjoyed your stay and the room. We hope to welcome you back soon!
Initial check-in went very smoothly and the receptionist at the desk was very accommodating.,Very Positive,enthusiastic and grateful,Thank you for your kind words! We're delighted to hear your check-in experience was smooth and that you appreciated our receptionist's help. We hope you enjoy your stay!
