Survey_feedback,sentiment_label,Very Poisitve,Poisitve But Critical,Neutral,Negative,Very Negative
"I am a huge fan of this hotel and have stayed here(GB Hyatt)  about 15 nights in the past 1 - 2 years. I am usually very impress overall, but this time was not my best experience. The hotel was not very busy and parking lot nearly empty for my entire stay. I was checked in to a room with construction going on right above me and I heard a lot of construction noise early and throughout the day as I was working.  There was also a blue crane that was extended right in front of my window.  Since there was hardly anyone in the hotel I was surprised they put me in this room. I didn't ask to be moved.  The carpet in my room was buckling and needs to be stretched.  The staff in the restaurant (breakfast) was also ignoring the guests as they stood at the front and talked.  I had to get up and ask for a menu, got to them to ask for water, then a refill and then go up and ask for my bill.  My eggs were also under cooked (ordered poached medium- no issue with them being under cooked, that happens and is not big deal) and I waited for someone to come and see how things were so I could reorder, but no one ever did (that was the issue-poor service). Each time I went up to ask for service the young ladies were very nice, but they clearly were more interested in talking to each other than in taking care of the guests. The person at the front desk (the one that checked me out for my stay) also needs to work on her customer service.  I saw her a few times during my stay and she never smiles, says hello or greets the guests, didn't ask how my stay was, etc  She was very cold and not very friendly and not typical of the Hyatt Staff I have net over the course of my stays.  I'm hoping this is not her usual demeanor and she was just ""off"".  
Like I said earlier, I am a huge fan of the hotel and am only sharing this for constructive purposes.  In general my hop is that the GB Hyatt is not slipping and that on my next stay the service will be improved. 

Thank you.",Positive,,,,v,
The rooms and bathrooms need updating.,Neutral,,,v,,
"Great room, enjoyed the stay.",Positive,v,,,,
Initial check-in went very smoothly and the receptionist at the desk was very accommodating.,Positive,v,,,,
The towel holder hook was broken and we couldnâ€™t use it.  Otherwise everything else was great!,Negative,,v,,,
Needs updating. Hardly seemed like a Hyatt at all. Was not informed of parking fee in advance. Seems like 2nd rate hotel at best.,Positive,,,,v,
Emma Asst Front Desk Mgr did a great job accommodating my wife and I during a recent 5 day stay!,Positive,v,,,,
"Hotel was outdated but obviously they were working on that. Staff couldn't have cared less about our stay. Mumbled a lot. I was looking for a late night snack for my wife that wasn't feeling well. Just some pretzels. Found some at the market by the front desk. $2.10 for a 1 ounce .50 bag of pretzels. Wow! 1 ounce of pretzels. I was going to get 2, but when I heard the cost,  I said I can't pay that for a little bag of pretzels, i got no response from the hostess. She didn't even look up from the computer screen. I know she can't change prices, but even a ""I'm sorry"" would have been better than complete indifference. The nakeup of the hotel was good, so with some updating and a staff that cares, the potential is there.",Positive,,,,v,
"The hotel room was excellent and the staff was very friendly.  Met friends from out of town and we were very pleased with our overall stay and proximity to walking to events.  The parking was not a big deal although I think that should have been explained when booking. Breakfast was good however, I feel there should be an inclusion with price of room.  Overall stay was A+ and would stay again.",Positive,v,,,,
"In my opinion the staff was very friendly, although they did not ask if I wanted to pay cash or put on my card I had on account.. Housekeeping was great! But you need to hire 2-4 men to move those couches and clean underneath them.  And the mattress on the fold out bed could be replaced it sages.",Positive,,,v,,
Bar serves Wine opened 3 days ago and is awful. Asked for fresh bottle and still got 3 day old stuff. Paying big bucks per glass and deserve a fresh bottle rather than old wine getting pawned off.,Positive,,,,v,
Great hotel. Window blinds need to be closer to the wall as a lot of light into the room. Staff was very welcoming. Sofa bed mattress could be better or a better cover to add on. Would stay again!,Positive,,v,,,
The breakfast buffet omelet station was terrible.  Not sure who the cook was but I would never go back to him again.,Negative,,,,,v
The gentleman that drives the shuttle is very kind!,Positive,v,,,,
Need to get parking fixed. Gates only work half of the time,Positive,,,,v,
They forgot to clean my room one day.,Positive,,,,,v
"Everyone at the hotel was very nice and most of our room were very good. The part that was really disgusted was that the comforter on the pull-out couch was rolled in a ball inside the couch and soiled with urine and feces. It was absolutely vile and it ruined our stay at your hotel. We left a note for housekeeping to replace it, which they did, but it was hard to get past.",Negative,,,,v,
"The exterior of the hotel is not inviting - and the inside is dark.  All of the staff were very warm and welcoming!  The room is nice; however, needs some updating.  The doors on the inside of the room are very outdated and worn for wear.  The counters and bathroom updates are very nice.  Maybe consider more uplifting colors other than dark brown.  I did feel safe and relaxed here and that is very important, thank you!",Positive,,,v,,
Parking charges are difficult to find on the site.  The $7 per day charge is unreasonable for green bay.  Had problems with the gate system every time I left the hotel.  Lobby reeked of smoke due to large group of smokers right outside the door.  Will not be back,Negative,,,,v,
"Our whole stay was phenomenal.  We experienced Teresa at the restaurant two different time, both of which were top notch!  Excellent service from start to finish for our entire stay!",Positive,v,,,,
"Air Conditions too loud. 
Furniture for a Hyatt Hotel too shabby",Negative,,,,v,
Love it staff is fabulous,Positive,v,,,,
The reason for 5 under customer service is that I requested a couple of days ago that Hyatt ships a laptop charger that I forgot in my room when I checked out...  They promised to make arrangements but nothing precipitated thus far...  Guess I'll have to call and inquire again... Not good.,Positive,,,,v,
"First thing my wife does upon entering any hotel is to pull the sheets back.  Crawling around under the top sheet near the headboard were two ants; my wife freaked out; after I disposed of them I volunteered to take that bed.  She took the other queen, but not until she removed all bedding and inspected first.
Very creepy to find ants in the bed; and for $300 + , and no breakfast included. Really?
Room 234",Negative,,,,v,
"I've stayed in much nicer areas in more expensive locations for a fraction of the cost. It's JUST Green Bay over looking a parking lot, it's not worth the $$. LA-cheaper, Las Vegas- Cheaper, Niagara Falls-cheaper, Ocean view on a mountain side in northern Washington-cheaper! and that's JUST the US...

Other than the over priced room, the hotel was clean, comfortable, and the staff was very nice.",Positive,,,,,v
"I booked this stay with my Hyatt points so this was an award night but I was very disappointed with the condition of our room.  I sat down to take it easy and watch tv however there was no picture only sound on the set.  I then decided to brew a cup of coffee and found that the bar sink faucet was plugged up so no water there.  My wife came out shortly from the bathroom and told me the drain was nearly plugged.  We could barely look out the sliding glass door in the bedroom since the inner seal was obviously broken and the glass was fogged between the glass panels.  Not what I expected from a luxury hotel!  The staff was pleasant but instead of addressing the issues, only told me I should have said something earlier.  Wish I had saved my points and stayed elsewhere.",Positive,,,,,v
"The hotel was under construction. The shuttle was not available during my stay, except for the last day and had to incur additional unplanned expense because it was not available. I thought breakfast was included with our corporate rate, and learned it was not. On a positive note, my bed was EXTREMELY comfortable and the TVs in my room exceeded my expectations (the large-screen in the bedroom was wonderful!)",Positive,,,,v,
The stairs in the convention center are rather steep.  Escalator would have been nicer.,Positive,,,v,,
"We had great discussions with many of the staff throughout our stay! We met some of the cooks, Miguel, Steve and Manny who were a delight. Bill was setting up for a lunch and even started conversation with us. Linda a housekeeper was kind. Stacey in the pub entertained us since we were the only one in there on a Sunday night. Every staff member we met was amazing! Checking was smooth, the hotel is gorgeous. The mattresses and pillows were so comfortable to sleep on. I definitely will recommend Hyatt to friends, family and coworkers.",Positive,v,,,,
"I was going to speak with someone the morning I checked out but there was a line of people.  My room was FREEZING.  The thermometer didn't work and I had the heat turned up to 76 and froze.  I was in room 330 and didn't sleep all night due to the fact that I was freezing.  I used the extra blanket and in the middle of the night got up and put bath towels on me.  I was desperate and probably should've called down for another blanket.  I felt that the room was very outdated and dirty.  But that I can live with...the freezing cold was rough.  Needless to say, I got a horrible night sleep and checked out at 8 in the morning.",Negative,,,,v,
Check out was slow because of the parking ticket..had to stand in a long line to get it validated,Positive,,,,v,
We were very pleased with our stay and room at the Hyatt Regency and would stay again when in the area. The Hotel was lovely and our room was very comfortable and had all the extras we have not experienced at other hotels. The value for the price we paid was outstanding compared to other hotels we have stayed that are considered high end. Absolutely satisfied with the Hyatt Regency!,Positive,v,,,,
"I love the set up of the room, how you walk into the living space first, then the bathroom, then the bedroom. I wish more hotels did this",Positive,v,,,,
"The guest rooms were much too hot, and the windows/sliding door should have had screens. The free breakfast was sorely missed. The elevators are extremely slow. The room keys kept inactivating.",Negative,,,,v,
"We expected a 3 pm check in, and our rooms weren't ready until 6:30. We would like a partial refund.",Positive,,,,v,
"There seemed to be a motor running - a very loud one, that was not coming from inside the room.  It would kick in every few minutes and run for about 15-30 seconds.  I thought it was maybe the elevator room nearby, but that also did not seem to be the case.  Either way, it did not make for a very tranquil stay.",Positive,,,,v,
"I was there for a wedding. Check-in went very smooth and told me that I was able to stay in the room for both nights. I got a call on Saturday while I was in the middle of setting up a wedding upstairs and was told I had to move rooms. It was a very inconvenient time and I could not move rooms. The wedding was less than an hour away and I had my hotel room filled. I was able to stay in the room but thought it was a very bad time for them to do that. 
It was impossible to have breakfast downstairs with any larger wedding group.  they didn't have the room for us and kept letting other people in ahead of us so we had to wait well over half an hour for all of us to eat. 
On the positive side it is a gorgeous location, staff was as friendly and accommodating as possible, very clean and we would stay again.",Positive,,,,v,
I decided to stay here with some friends for a night away. I decided to use points for the room. I feel it was a wasted because there were so many issues with my stay!,Negative,,,,v,
"I felt bad for the staff. We arrived around 3 wanting to rest before the evening but a room was not available yet. So we went to the bar. At 4 there was still no room, at 5 still no room. We had a scheduled dinner so we got ready in the bathroom for the evening and had our bags held. Later that evening there was a room and it was a suite - very nice thank you. Most of the staff was very courteous.",Positive,,v,,,
"Housekeeping staff were excellent.  Front Desk was nice, and maybe new (?), but a little bureaucratic.  Overall, very happy.  Thank you for asking.",Positive,,v,,,
"I was there 3 days, I had an issue with the heat. They came up the next day and fixed the thermostat but the heat still did not work. Called the desk, they shut off the fan but never sent anyone to fix the heat. It was 66 degrees all three days. Staff just blew it off saying the hotel was cold. Disappointed.",Negative,,,,v,
"I've stayed at this hotel a number of times over the past twenty years.  A fresh coat of paint and a new tv isn't a renovation.  I only stay because of the KI Conv Center, there are many better options in Green Bay.",Positive,,,,v,
"I used the coffee maker, The coffee supply was replenished every day but the sugar and stir sticks were not.  A little thing but important to me.",Positive,,,v,,
The sleeping rooms have severely aged.  The food was average and the prices for drinks in the bar were extremely high.  GB is not Milwaukee or Minneapolis.,Positive,,,v,,
"As a breastfeeding mother staying at the Hyatt for a conference, I was extremely disappointed in the lack of accommodation. When I went to check in (earlier than the actual check in time) I explained that I would like a space to pump before my room was ready. I was told there were no options unless I paid an upgrade fee. This was not a feasible option. No private space was provided to me so I had to pump on the bathroom floor in a handicap stall. I do believe I could've been provided with a private space to pump and that accommodation was not made. I was incredibly upset at this situation.",Negative,,,,v,
Elevators were slow and bathrooms are way to small,Negative,,,v,,
I had a reservation for a room with two queen beds and tried to check in at 3:30 when check in is supposed to be 3:00.  I was informed that my room was not ready.  At 4:30 I went back up and they offered me a room with 1 king bed.  I declined. I went up again at 5:40 and was told it was ready only to find out it was the room with 1 king bed.  There was no compensation for the late check in or the wrong room.  I would not go back even though the room was nice and breakfast was good.,Positive,,,,v,
Hotel room was not ready until 5:30.,Positive,,,v,,
Some guests were disappointed with the Banquet dinner.,Positive,,,v,,
"I had a room reserved a month in advance for the wrestling clinic.  I, and 3 other coaches, tried checking in at 1 pm, but the room wasn't ready, 3 pm, the room wan't ready, 4:30 pm, the room wasn't ready...  We had a banquet to attend at 7 pm upstairs.  The 4 of us hadn't showered, etc... The 4 of us dressed in the bathroom!  I went to the desk at 7 pm, and was told by the clerk""your room is ready"", ""didn't someone text you?"".  

This was the WORST experience have ever had at a motel!  I would like you to forward this survey to a Manager, and I would also request I be reimbursed for my stay at the Hyatt.

Patrick Ratkovich
(715) 574 - 3628",Positive,,,,v,
We got there at 5:30pm and our room was not ready. We were told we would get a text letting us know when our room would be ready and never received a text. We checked back at 7pm room not ready. Checked back at 8:30pm finally got to check into our room. RIDICULOUS.,Positive,,,,v,
"Room was not ready until 4pm arrived at 2. The breakfast food was cold and inedible, pull out bef was dirty and stained and very uncomfortable to the point it was better to sleep on the floor.",Positive,,,,v,
Great walleye at the restaurant!,Positive,v,,,,
"Room did not have full length mirror. Room service delivered in bag with plastic utensils. I was charged close to $10 for tip and service charge and I don't get real utensils? That is tacky. Internet connection impossible. Upon arrival was not informed of which elevator to use, or breakfast options. Morning staff was much more helpful with my need for local directions. Compared to my stay last year, I was disappointed",Negative,,,,v,
"Room was way too warm and thermostat didn't respond to any changes.  I am not able to sleep in 70-72 degrees comfortably.  I have stayed at this hotel many times over the years and this never seems to change.
I was also disappointed that the breakfast wasn't included in our room rate.  I later found out I could stay at the neighboring hotel cheaper, with working thermostats and has breakfast included so I will probably stay there next time.",Positive,,,,v,
Excellent service provided by staff. Morning breakfast is too good. I definitely recommend this hotel and would love to visit again.,Positive,v,,,,
"Breakfast used to be free, is now $12.50. The bar used to have reasonable prices, now a tap beer is $6. A little pricey.",Positive,,,,v,
Our corner rooms heating unit made a rattling noise throughout the night.,Positive,,,,v,
"Thermal control needed. Also, vent is very loud, felt like sleeping in a wind turbine. Also, bathroom needs update",Neutral,,,,v,
"It's very sad that you would knowingly put someone in a room that is consistently loud!  There is also no control over the temperature as it was very warm in our room.  I will go out of my way to never stay at another Hyatt...aot of money for a very awful night.  When we checked out the rep asked us about your stay and when we mentioned how loud our night was, she replied oh yeah that is a loud room.  No I'm sorry, nothing.",Negative,,,,v,
"The staff was helpful and very friendly. The room was clean. The only issue I had is the heat didnâ€™t seem to work.  It didnâ€™t matter what the thermostat was set at, it was very cold in the room. I had to layer 2 blankets just to stay warm while I was sleeping. Also, the sink was draining very slow to the point where it almost overflowed while I was washing my face.",Positive,,,v,,
"Overall, the stay and accommodations were reasonable. However, a couple of items did stick out as unreasonable. The sheet set on the bed had a dime-sized hole in the fitted sheet right as I pulled the duvet back off the pillows. Also, all 4 of the pillows on the bed had hair on them - some long, possibly female hairs and some shorter. I was not going to sleep on someone else's hairy pillows. The spare in the linen closet was acceptable and so I used that one. I did not alert management to these issues immediately as I found reasonable solutions and was extremely tired due to a long travel day. I used points + cash for the room and was not completely satisfied. I will continue to stay as long as the accommodations improve. I had not had any prior poor experience to date.",Positive,,,,v,
"The down pillows are very uncomfortable, and the HVAC did not work in our room but we didnâ€™t report it.",Neutral,,,,v,
Disappointed,Negative,,,,,v
Charged us seven dollars a day for parking. We stayed at the hotel we were not gas or using the convention center. I was told that we were being charged seven dollars a day during check-in. I wish I was aware of this before we made arrangements to stay here. I have never been charged anywhere else for parking,Positive,,,,v,
"I'll be honest, I had no idea what to expect other than hearing that Hyatt has really stepped up their game with their new World Of Hyatt program and the addition of newer luxury properties it has acquired.  I travel a lot for work and this instance happened to be for pleasure.  Having switched my loyalty over to Hyatt recently from Marriott (and switched to the World Of Hyatt credit card), I was excited for this visit.

The gentleman who checked me into our hotel was FANTASTIC.  He welcomed us and our loyalty, and asked if I had any questions or needed anything additional for our stay.  Our room was in great condition and clean (except for the to-go container still in the garbage from a previous guest).

Unfortunately, the following morning the customer service experience was not quite the same.  I asked if I could take advantage of late-check out, basically looking for an extra hour as we were planning our day and thought at 12pm checkout was reasonable - especially since 2pm late checkout is a status benefit (which I understand is subject to availability).  When I called, the front desk person gave me a firm ""NO"", saying they had many guests arriving later in the day.  I totally understood, but she could have been a little more sincere and used a nicer tone after my request.

I'd definitely stay here again, as a first timer after switching my business to Hyatt I am impressed with the program, and the properties so far.  Just wish the customer service was a *tad* more polite in the morning hours :)",Positive,v,,,,
"When I checked in I was told I had booked a 2 queen bed room and if I wanted a king I would have to pay extra. Only after I provided hard copy of my confirmation did they acknowledge I had booked a king suite. Hotel was filled with drunken teachers, very noisy and 2 fire alarms were pulled ( very disturbing). Charged $7 to park despite no mention of it on the web site or my confirmation. I had stayed at hotel twice before and was never charged for parking.",Negative,,,,v,
"Rooms are big (nice) but if youâ€™re on the sleeper sofa itâ€™s so loud from the door you canâ€™t sleep. 
When my wife and son went for breakfast they were told that there was no other option other than the breakfast buffet, my daughter and I had other options 20 minutes before that. 
Canâ€™t say Iâ€™ll stay there again.",Positive,,,,v,
"I think a good value for the price.  
The check-in area could use a little renovation and professionalism designed around it. 
The staff was great, but almost seemed like a make-shift check-in?",Positive,v,,,,
"Was a little surprised when the bathroom ceiling tile came down on me during my shower. Otherwise everything was great! Beds were great, nice pillows etc.",Positive,,,v,,
Your hotel is certainly not up to Hyatt standards. Room 407 was filthy and so run down. Very sad to say the least....,Negative,,,,,v
The bathroom doors are water damaged. I saw multiple with our group. That was the only issue.,Negative,,,,v,
"Everyone was more than cordial, parking / validation was easy.  Soda prices at the Market are really high.",Positive,,v,,,
"Everybody was extremely friendly.  Staff at check-in and breakfast were great.

Glenn, the shuttle driver, was outstanding.

I would highly recommend this hotel.",Positive,v,,,,
The lack of a WSJ is really disappointing and detracts from the overall experience. Every other Hyatt Regency and even most Hyatt Places carry it. Iâ€™m a guest in your town. Trying to find a paper on my own is a huge hassle.,Positive,,,,v,
"The $13 buffet was a slight bummer.  Iâ€™ve had better breakfast buffets in Raleigh and in Richmond. 

Otherwise, the accommodations were beyond my expectations.",Positive,,,,v,
Great service in the restaurant and bar.,Positive,v,,,,
very good staff,Positive,v,,,,
"The room temp was 72 degrees which is way too hot for sleeping.  Can you put some directions up that tell you how to decrease or increase temp?  Nothing we tried helped and it was late so we didn't want to bother anyone.  The balcony door wouldn't open so we could cool off either.  Other than that, things were good!",Positive,,,v,,
For the cost of the hotel...was not expecting to be charged again for parking on premise...have stayed in places for less (and less nice) that comped or included your parking...not added it on to the final bill.,Positive,,,,v,
"Awesome experience; the wedding reception of our niece was so well done, made the experience so memorable.  Appreciate the discounted cost of the breakfast buffet for the little children who don't eat that much.  Hotel much nicer than when it was embassy suites.",Positive,v,,,,
"Bed in room 712 squeaked terribly, disrupting sleep. Breakfast was terrible, should be included free for people staying at the hotel. Otherwise very pleasant. Love the pool, especially the late hours.",Positive,,,,v,
Satisfaction was beyond our expectations!,Neutral,v,,,,
"Breakfast buffet was not very good. Most times when we went to get some food, the trays were empty.",Positive,,,,v,
Van driver was right at the bottom of the airport escalator with the Hyatt sign!  Fruit at the desk was nice and breakfast buffet with omelet was really good.,Positive,v,,,,
a very enjoyable stay,Positive,v,,,,
"We were there for my son's wedding.  The food, service and experience were excellent for the event.  Same goes for personal service in the food service areas.  Everything was on time as and delivered as promised.",Positive,v,,,,
"The refrig in the room, said its only a cooler 45 degrees, which is not cold enough, should be 41 or less, front desk said it was fine, i did not take a temp, but I am a health inspector and it did not feel cold enough.  Fortunately I have family that lives close by to keep our food.  This is a Hyatt when they say there is a refrig I  expect it to maintain temperature.",Positive,,,,v,
Parking across the street was a very long walk carrying luggage,Neutral,,,,v,
I was a little surprised as a Globalist on what seemed like a very slow night.  I was not offered any upgrade.  Very weird compared to other properties I stay at.,Negative,,,v,,
Front desk very friendly. Room very comfortable and clean.,Positive,v,,,,
"We arrived in our room and it was 72 degrees. We thought we turned down the thermostat and returned 3 hours later for it to be at 72 degrees. Called front desk and she told me to turn up the temp in room or open window or they could bring up a fan.  Turned up therm it just went to 74 so we had to open window. Was not pleased to have to sleep with a window open for 3 nights with cold breeze blowing in window along with traffic.  Very poor answer, I find that many people I talked to while staying there said it was way to warm.",Positive,,,,v,
"bathroom doors were really scratched up, needing paint",Negative,,,,v,
All employees were extremely caring and helpful. They answered any questions we had and went out of their way to be courteous. Wish all hotel staff were this wonderful in other parts of the country!,Positive,v,,,,
"My room was cold. I was given a little heater, about the size of a coffee pot, to keep  my room warm. That wasnâ€™t enough!
With having that heater on, when I turned on the hair dryer the breaker kicked and I had no lights! 
The same guy was at my room 3 times for these issues. 
I was told this is a common problem, people leave because it is too cold! 
Obviously no one really gives a shit! Nothing is done about it!",Negative,,,,,v
"The room was very cold 66, they gave me a space heater for the room. It was the size of a football. They said they couldnâ€™t turn on the heat because it was set for the season. I will not be returning to the Hyatt in Green Bay. The next time iâ€™m in Green Bay my wife and I will be staying somewhere else.",Negative,,,,,v
Staff was fantastic and very friendly!,Positive,v,,,,
Your pillows are horrible and too hard a mattress.,Negative,,,,v,
"The staff was very accommodating, and polite. The Romance package needs alot of work though.  The package says truffles and they were more like Hershey candy, the bottle of champagne was super cheap and can be bought at the store for 3.00. Also the champagne should be chilled on ice when served and should be brought to.the room as soon as the guests are checking in not 2 hours later. 
The breakfast was pretty good but not alot of options.  
Only other downfall is I would like to see some jacuzzis added to some of the rooms. Would really enhance a romance package.",Positive,,v,,,
"Beds in our room were not very comfortable--they were hard and you could feel the wires through the top.
For as much as it costs, it should at a minimum, include a complimentary breakfast and a happy hour.. When it was owned and operated by Embassy Suites, it provided those perks.",Positive,,,,v,
"This location is certainly not up to the Hyatt name.  Bathroom was aged, worn and not especially clean.
The bathroom door was scratched and  seemed like an animal was locked in and trying to escape.  I don't understand the charge for parking.  Unrealistic for this location.  No breakfast was included in room price.",Positive,,,,v,
